DateData,CityName,Temperature
2026-09-09T00:00:00,LaSarraz,12.2
2026-09-09T02:00:00,LaSarraz,11.3
2026-09-09T04:00:00,LaSarraz,10.5
2026-09-09T06:00:00,LaSarraz,11.0
2026-09-09T08:00:00,LaSarraz,14.1
2026-09-09T10:00:00,LaSarraz,17.4
2026-09-09T12:00:00,LaSarraz,20.0
2026-09-09T14:00:00,LaSarraz,22.1
2026-09-09T16:00:00,LaSarraz,22.8
2026-09-09T18:00:00,LaSarraz,20.2
2026-09-09T20:00:00,LaSarraz,17.1
2026-09-09T22:00:00,LaSarraz,14.5
2026-09-09T00:00:00,Lausanne,14.1
2026-09-09T02:00:00,Lausanne,13.2
2026-09-09T04:00:00,Lausanne,12.5
2026-09-09T06:00:00,Lausanne,13.0
2026-09-09T08:00:00,Lausanne,16.2
2026-09-09T10:00:00,Lausanne,19.5
2026-09-09T12:00:00,Lausanne,22.1
2026-09-09T14:00:00,Lausanne,24.3
2026-09-09T16:00:00,Lausanne,25.0
2026-09-09T18:00:00,Lausanne,22.5
2026-09-09T20:00:00,Lausanne,19.2
2026-09-09T22:00:00,Lausanne,16.5
2026-09-09T00:00:00,Morges,14.3
2026-09-09T02:00:00,Morges,13.4
2026-09-09T04:00:00,Morges,12.6
2026-09-09T06:00:00,Morges,13.1
2026-09-09T08:00:00,Morges,16.0
2026-09-09T10:00:00,Morges,19.3
2026-09-09T12:00:00,Morges,21.9
2026-09-09T14:00:00,Morges,24.1
2026-09-09T16:00:00,Morges,24.8
2026-09-09T18:00:00,Morges,22.3
2026-09-09T20:00:00,Morges,19.0
2026-09-09T22:00:00,Morges,16.4
2026-09-09T00:00:00,Renens,14.5
2026-09-09T02:00:00,Renens,13.5
2026-09-09T04:00:00,Renens,12.8
2026-09-09T06:00:00,Renens,13.3
2026-09-09T08:00:00,Renens,16.6
2026-09-09T10:00:00,Renens,20.1
2026-09-09T12:00:00,Renens,22.8
2026-09-09T14:00:00,Renens,24.8
2026-09-09T16:00:00,Renens,25.5
2026-09-09T18:00:00,Renens,23.0
2026-09-09T20:00:00,Renens,19.6
2026-09-09T22:00:00,Renens,16.9
2026-09-09T00:00:00,Yverdon,13.5
2026-09-09T02:00:00,Yverdon,12.7
2026-09-09T04:00:00,Yverdon,11.8
2026-09-09T06:00:00,Yverdon,12.2
2026-09-09T08:00:00,Yverdon,15.2
2026-09-09T10:00:00,Yverdon,18.5
2026-09-09T12:00:00,Yverdon,21.0
2026-09-09T14:00:00,Yverdon,23.1
2026-09-09T16:00:00,Yverdon,23.8
2026-09-09T18:00:00,Yverdon,21.5
2026-09-09T20:00:00,Yverdon,18.2
2026-09-09T22:00:00,Yverdon,15.6
